               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.050945,            0.016345,           0.0055691,             0.80206,             0.56622,             0.62207,             0.33852,            0.046216,            0.016292,            0.011133,            0.007954,            0.007954,            0.007954
                  64,            0.050409,            0.016062,           0.0055049,             0.81727,             0.57056,              0.6292,             0.34444,            0.046194,            0.016344,             0.01165,            0.007921,            0.007921,            0.007921
                  65,            0.051062,            0.015715,           0.0053648,             0.78993,             0.61412,             0.63954,             0.34015,            0.046322,            0.016415,            0.010858,            0.007888,            0.007888,            0.007888
                  66,            0.050843,            0.015942,           0.0054179,             0.81411,             0.57719,             0.63396,             0.33991,            0.045959,            0.016221,            0.011784,            0.007855,            0.007855,            0.007855
                  67,             0.05091,            0.016133,            0.005472,             0.77418,             0.54003,             0.59662,             0.32702,            0.046143,            0.016282,            0.011974,            0.007822,            0.007822,            0.007822
                  68,            0.049928,             0.01552,           0.0052203,              0.8126,             0.56222,             0.61034,              0.3359,             0.04602,            0.016391,            0.011965,            0.007789,            0.007789,            0.007789
                  69,            0.049984,            0.015876,           0.0048238,             0.81595,             0.57687,              0.6094,             0.34351,            0.046046,            0.016264,            0.012031,            0.007756,            0.007756,            0.007756
                  70,            0.050916,            0.015801,            0.005325,             0.80692,             0.57156,             0.62269,             0.33086,            0.046455,            0.016271,            0.012464,            0.007723,            0.007723,            0.007723
                  71,            0.050664,            0.016278,           0.0052201,             0.71198,             0.58157,              0.6274,              0.3334,            0.046099,            0.016408,            0.011956,             0.00769,             0.00769,             0.00769
                  72,            0.050155,            0.015949,           0.0053834,             0.82409,             0.58995,             0.64253,             0.35086,            0.045932,            0.016185,            0.011213,            0.007657,            0.007657,            0.007657
                  73,            0.049207,            0.015456,           0.0049584,             0.76039,             0.54368,             0.59181,             0.32193,            0.045936,            0.016448,            0.012396,            0.007624,            0.007624,            0.007624
                  74,            0.049861,             0.01569,           0.0049293,             0.69912,              0.5916,             0.60014,             0.32882,            0.045623,            0.016276,            0.012341,            0.007591,            0.007591,            0.007591
